,Model,Avg Accuracy,Avg Precision,Avg Recall,Avg F1
0,DynamicANNWrapper0,0.9810364056077857,0.9817383817798648,0.9809837119692151,0.9809215377753727 #relu
1,DynamicANNWrapper0,0.9843954184376112,0.9845909558460381,0.9843601345304649,0.9843470504313038 #sigmoid
2,DynamicANNWrapper0,0.986203693318273,0.9863848649310135,0.9861960288908241,0.986177249235924   #tanh
3,DynamicANNWrapper0,0.9844209712324654,0.9846656308136014,0.9843747614359788,0.9844130337971517 #softmax
4,DynamicANNWrapper0,0.985764486927945,0.9859416039706062,0.9857648394140233,0.9857389511294337 #leaky_relu 
5,DynamicANNWrapper0,0.9838784523929942,0.9839930434474811,0.9838981738020742,0.9838586188285159 #elu
6,DynamicANNWrapper0,0.98227656880795,0.9824906874947323,0.9822726420784811,0.9822593410926068 #selu
7,DynamicANNWrapper0,0.983568418267315,0.9837663461317835,0.9835195031539883,0.983527997235111 #gelu
8,DynamicANNWrapper0,0.9693584746760189,0.9708832284575253,0.9692900281133644,0.9695218363315063 #PRelU
9,DynamicANNWrapper0,0.9870304398628139,0.9871924787833442,0.9870336333162065,0.9870002568148373 #softplus pick
10,DynamicANNWrapper0,0.9865654103659717,0.9867285804988839,0.9865626378726221,0.9865342007764815 #softsign
11,DynamicANNWrapper0,0.9853510936325887,0.9856098221722795,0.9853141420294651,0.9853178307469683 #softmin
